Dataset,File Name,Original Size (B),Rygrans Size (B),Arithmetic Size (B),Rygrans Ratio (%),Arithmetic Ratio (%),Difference (%),Status
smallFiles,alice29.txt,152089,87433,87191,57.49,57.33,0.16,OK
smallFiles,asyoulik.txt,129301,79136,78715,61.2,60.88,0.33,OK
smallFiles,cp.html,25248,17003,16735,67.34,66.28,1.06,OK
smallFiles,fields.c,11581,7640,7430,65.97,64.16,1.81,OK
smallFiles,grammar.lsp,3815,2503,2341,65.61,61.36,4.25,OK
smallFiles,kennedy.xls,1029744,462858,478043,44.95,46.42,-1.47,OK
smallFiles,lcet10.txt,426754,250395,249749,58.67,58.52,0.15,OK
smallFiles,plrabn12.txt,481861,274191,274359,56.9,56.94,-0.03,OK
smallFiles,ptt5,513216,80420,108475,15.67,21.14,-5.47,OK
smallFiles,sum,38240,26488,26340,69.27,68.88,0.39,OK
smallFiles,test_dynamic.txt,200000,27180,25082,13.59,12.54,1.05,OK
smallFiles,xargs.1,4339,2927,2789,67.46,64.28,3.18,OK
50MFiles,dblp.xml.50MB,53882283,35586683,35523286,66.05,65.93,0.12,OK
50MFiles,dna.50MB,52429136,13141171,13137262,25.06,25.06,0.01,OK
50MFiles,english.50MB,52428800,29773204,30303126,56.79,57.8,-1.01,OK
50MFiles,pitches.50MB,52428800,37024954,37021704,70.62,70.61,0.01,OK
50MFiles,proteins.50MB,52615713,27859928,27735428,52.95,52.71,0.24,OK
50MFiles,sources.50MB,54192109,37784826,38304447,69.72,70.68,-0.96,OK
