Dataset,Filename,Original_Size,Compressed_Size,Ratio_Percent,Savings_Percent 
cantrbry,alice29.txt,152089,87041,57.23,42.77 
cantrbry,asyoulik.txt,129301,78690,60.86,39.14 
cantrbry,cp.html,25248,16772,66.43,33.57 
cantrbry,fields.c,11581,7466,64.47,35.53 
cantrbry,grammar.lsp,3815,2376,62.28,37.72 
cantrbry,kennedy.xls,1029744,460637,44.73,55.27 
cantrbry,lcet10.txt,426754,249366,58.43,41.57 
cantrbry,plrabn12.txt,481861,273451,56.75,43.25 
cantrbry,ptt5,513216,79793,15.55,84.45 
cantrbry,sum,38240,25796,67.46,32.54 
cantrbry,xargs.1,4339,2833,65.29,34.71 
50MFiles,dblp.xml.50MB,52428800,34318983,65.46,34.54 
50MFiles,dna.50MB,52428800,13018084,24.83,75.17 
50MFiles,english.50MB,52428800,29902002,57.03,42.97 
50MFiles,pitches.50MB,52428800,37019455,70.61,29.39 
50MFiles,proteins.50MB,52428800,27504727,52.46,47.54 
50MFiles,sources.50MB,52428800,36619084,69.85,30.15 
------------------------------------------ 
TOTAL,ALL,317388988,179666556,56.61,43.39 
