Dataset,Filename,Original_Size,Compressed_Size,Ratio_Percent,Savings_Percent,Comp_Time_MS,Decomp_Time_MS,Status
smallFiles,alice29.txt,152089,87428,57.48,42.52,1366.54,80.54,SUCCESS
smallFiles,asyoulik.txt,129301,79109,61.18,38.82,75.4,68.58,SUCCESS
smallFiles,cp.html,25248,16997,67.32,32.68,50.42,47.34,SUCCESS
smallFiles,fields.c,11581,7683,66.34,33.66,73.79,109.01,SUCCESS
smallFiles,grammar.lsp,3815,2507,65.71,34.29,44.11,62.18,SUCCESS
smallFiles,kennedy.xls,1029744,462764,44.94,55.06,182.03,229.36,SUCCESS
smallFiles,lcet10.txt,426754,250423,58.68,41.32,162.74,182.33,SUCCESS
smallFiles,plrabn12.txt,481861,274195,56.9,43.1,190.83,186.09,SUCCESS
smallFiles,ptt5,513216,80433,15.67,84.33,148.21,168.04,SUCCESS
smallFiles,sum,38240,26506,69.31,30.69,45.42,65.79,SUCCESS
smallFiles,test_dynamic.txt,200000,27209,13.6,86.4,104.78,96.03,SUCCESS
smallFiles,xargs.1,4339,2931,67.55,32.45,103.3,66.65,SUCCESS
50MFiles,dblp.xml.50MB,53882283,35586667,66.05,33.95,14580.37,18032.81,SUCCESS
50MFiles,dna.50MB,52429136,13141239,25.06,74.94,23695.71,27269.59,SUCCESS
50MFiles,english.50MB,52428800,29773220,56.79,43.21,13810.99,16062.5,SUCCESS
50MFiles,pitches.50MB,52428800,37024974,70.62,29.38,13995.15,15420.55,SUCCESS
50MFiles,proteins.50MB,52615713,27859823,52.95,47.05,24072.88,25128.91,SUCCESS
50MFiles,sources.50MB,54192109,37784994,69.72,30.28,13567.11,15175.08,SUCCESS
